"census_tract","total_population","california_county","zip","approximate_location","longitude","latitude","ces_4_0_score","ces_4_0_percentile","ces_4_0_percentile_range","ozone","ozone_pctl","pm2_5","pm2_5_pctl","diesel_pm","diesel_pm_pctl","drinking_water","drinking_water_pctl","lead","lead_pctl","pesticides","pesticides_pctl","tox_release","tox_release_pctl","traffic","traffic_pctl","cleanup_sites","cleanup_sites_pctl","groundwater_threats","groundwater_threats_pctl","haz_waste","haz_waste_pctl","imp_water_bodies","imp_water_bodies_pctl","solid_waste","solid_waste_pctl","pollution_burden","pollution_burden_score","pollution_burden_pctl","asthma","asthma_pctl","low_birth_weight","low_birth_weight_pctl","cardiovascular_disease","cardiovascular_disease_pctl","education","education_pctl","linguistic_isolation","linguistic_isolation_pctl","poverty","poverty_pctl","unemployment","unemployment_pctl","housing_burden","housing_burden_pctl","pop_char","pop_char_score","pop_char_pctl","direct","indirect","avg_env","scaled_comp_env","avg_pop","scaled_comp_pop","water_risk_score","PCT"
6019001100,2780,"Fresno",93706,"Fresno",-119.7816961,36.7096952,93.18,100,"95-100% (highest scores)",0.06,82.48,13.90634758,97.71,1.123,98.72,733.95,84.39,89.6,96.47,1,42.9,4859.094604,92.2,1037.095744,60.38,70.5,98.19,54.25,91.17,3.1,96.31,0,0,6,79.95,78.98,9.64,99.93,129.54,97.22,7.8,95.62,21.47,92.25,44.5,93.23,16,79.37,76,98.92,12.8,93.83,30.3,91.04,93.16,9.66,99.72,58.52,34.8025,62.215,0,73.0224,0,0,1
6077000700,4680,"San Joaquin",95206,"Stockton",-121.2878729,37.9431727,86.65,99.99,"95-100% (highest scores)",0.046,44.98,11.88408494,72.59,0.538,91.15,389.85,41.55,77.3,86.83,63.13,73.66,519.6280009,52.35,856.395935,48.29,61.9,97.46,78.6,95.09,1.27,88.58,13,91.87,9.25,89.28,73.43,8.97,99.29,105.88,94.22,6.88,88.72,20.26,88.12,46.4,94.47,29.7,95.53,73.2,98.39,19.8,99.21,31.2,92.28,93.17,9.66,99.74,76.17,40.56,77.82,0,76.7808,0,0,1
6037204920,2751,"Los Angeles",90023,"Los Angeles",-118.1974975,34.0175004,82.39,99.97,"95-100% (highest scores)",0.048,53.73,12.25164028,89.21,0.781,96.55,787.94,92.53,92.56,98.4,0,0,3682.693278,87.73,2522.622269,92.84,38.75,92.96,20.5,68.92,11.62,99.66,7,66.74,4.85,73.08,77.67,9.48,99.86,76.1,82.76,7.11,90.89,20.87,90.15,52.2,97.39,17.1,81.55,62.6,93.39,6.4,61.53,20.3,63.97,83.75,8.69,95.79,76.0633333333333,24.915,67.3188888888889,0,63.6528,0,0,1
6019000700,3664,"Fresno",93706,"Fresno",-119.8277069,36.7345353,81.33,99.96,"95-100% (highest scores)",0.06,82.48,13.52093888,95.88,0.174,57.09,733.95,84.39,68.39,77,44.57,71.59,1630.342707,74.93,690.502159,35.28,16.5,77.32,9.5,44.83,2.36,94.12,0,0,5.75,78.14,67.85,8.28,97.4,139.45,98.24,10.65,99.78,22.68,94.57,41.4,90.94,15.7,78.71,65.7,95.35,15.7,97.35,35.4,96.41,94.64,9.82,99.89,43.0733333333333,41.4275,56.3338888888889,0,73.4016,0,0,1
6019000200,2689,"Fresno",93706,"Fresno",-119.8055044,36.7354914,80.75,99.95,"95-100% (highest scores)",0.06,82.48,13.81895941,97.47,1.39,99.3,733.95,84.39,75.41,85.12,16.63,64.41,1975.207988,78.96,909.6508821,52.26,10.5,62.45,28.25,78.05,0.35,56.4,0,0,0,0,66.83,8.16,96.94,139.08,98.17,10.25,99.67,22.64,94.43,43.6,92.57,20,86.56,72.7,98.3,13.7,95.29,32.7,94.16,95.4,9.9,99.95,54.1466666666667,30.2025,56.2327777777778,0,74.7008,0,0,1
6037542402,3306,"Los Angeles",90221,"Compton",-118.2124134,33.881969,80.71,99.94,"95-100% (highest scores)",0.043,29.89,12.25258001,89.22,0.52,90.64,459.74,55.31,91.09,97.49,0.41,36.07,12491.99626,98.36,1480.520959,77.66,19.4,81.3,53.3,91,2.72,95.34,10,82.97,5.5,77.62,76.44,9.33,99.78,86.77,88.6,6.28,80.04,22.2,93.67,33.1,83.57,NA,NA,43.5,74.05,9.3,83.22,23.7,76.35,83.37,8.65,95.46,76.4266666666667,32.8525,72.8527777777778,0,NA,NA,NA,NA
6019001000,4255,"Fresno",93706,"Fresno",-119.804314,36.6977507,80.55,99.92,"95-100% (highest scores)",0.06,82.48,13.55379682,96.02,0.097,36.19,790.59,92.69,65.01,72.9,1321.97,90.83,3178.098409,85.48,243.2723063,5.7,15.45,75.38,20,68.42,0.56,72.97,0,0,5,75.67,66.35,8.1,96.7,139.35,98.23,8.76,98.4,22.68,94.57,44.2,92.99,21.7,88.7,79.5,99.41,15.4,97.14,33.3,94.83,95.84,9.94,99.99,53.7033333333333,40.95,63.1022222222222,0,75.6912,0,0,1
6037543202,5124,"Los Angeles",90220,"Compton",-118.230032,33.8798617,79.29,99.91,"95-100% (highest scores)",0.042,26.7,12.21666021,88.64,0.376,83.17,459.2,55.16,91.35,97.71,1.66,46.07,14883.20671,98.99,1575.35455,79.6,22.5,84.21,63.5,93.08,1.785,91.83,7,66.74,1.7,43.21,73.27,8.95,99.25,114.33,95.46,6.32,80.73,18.18,81.31,43.3,92.33,9.7,60.62,56.8,88.92,12.6,93.49,29.6,89.84,85.44,8.86,96.9,71.66,34.475,70.7566666666667,0,68.032,0,0,1
6019001202,4561,"Fresno",93725,"Unincorporated Fresno County area",-119.7410277,36.7026849,79.17,99.9,"95-100% (highest scores)",0.061,84.58,13.96606425,97.9,0.203,62.55,788.31,92.58,60.36,66.33,8.99,59.45,25576.25792,99.69,438.594055,16.6,31.15,89.19,48.55,89.77,1.205,87.9,0,0,7,83.28,71.65,8.75,98.88,89.27,89.34,6.83,88.09,14.13,61.13,52.4,97.43,22.4,89.62,72.2,98.12,16.3,97.9,30.8,91.76,87.24,9.05,98.05,60.7833333333333,36.8375,65.0805555555556,0,75.9728,0,0,1
6077000100,3688,"San Joaquin",95202,"Stockton",-121.2853628,37.953996,77.87,99.89,"95-100% (highest scores)",0.046,44.98,11.87572931,72.2,0.52,90.63,389.85,41.55,79.35,88.71,16.09,63.93,369.7826741,45.55,287.4559495,7.61,54,96.58,75.85,94.92,1.32,89.04,2,23.88,9,88.93,64.15,7.83,95.22,238.03,99.96,9.72,99.36,20.57,89.13,48.6,95.79,24,91.39,78.8,99.31,14.6,96.46,33.1,94.64,95.83,9.94,99.97,53.45,38.2425,61.1283333333333,0,76.4144,0,0,1
